,0
3184,1811:  Safari
3185,1814:  Starter Set
3186,1819:  Large Bucket
3187,1820:  Primo Sample Set
3188,1822:  Sea Claw 7
3189,1828:  Animals
3190,1831:  Maersk Line Container Lorry
3191,1836:  Animal Friends
3192,1837:  Freestyle Set
3193,1838:  Animal Friends
3194,1839:  Freestyle Set
3195,1840:  Trial Size Bag
3196,1844:  Large Green Bucket
3197,1850:  Trial Size Bag
3198,1852:  Alligator Bucket
3199,1860:  Trial Size Bag
3200,1863:  Freestyle Trial Set
3201,1870:  Trial Size Bag
3202,1954:  Surveillance Scooter
3203,2080:  Small Stack 'n' Learn Set
3204,2082:  Medium Stack 'n' Learn Set
3205,2084:  Large Stack 'n' Learn Set
3206,2086:  XLarge Stack 'n' Learn Set
3207,2090:  Baby Storage Bear
3208,2320:  Small Basic Box
3209,2324:  Large Giraffe Bucket
3210,2326:  Green elephant bucket XL
3211,2338:  Kitty Cat's Building Set
3212,2342:  Small Animals Bucket
3213,2362:  Large Circus Bucket
3214,2364:  Circus Bucket Green
3215,2368:  XLarge Basic Bucket
3216,2659:  Baby Animals
3217,2663:  Water Animals
3218,2665:  Wild Cats
3219,2667:  Animals Park
3220,2670:  Water Park
3221,2690:  Fire Chief
3222,2691:  Fire Engine
3223,2692:  Fire Heliport
3224,2693:  Fire Station
3225,2783:  Ironing Room
3226,2785:  Living Room
3227,2796:  Pink Carry Case with Handle
3228,2915:  Mini Digger
3229,2925:  Helicopter
3230,2945:  Space Center
3231,2960:  Tool Box
3232,4130:  Daft 'n' Dotty
3233,"4131:  Freestyle Building Set, 3+"
3234,4132:  3+ Tote Pack
3235,"4133:  Freestyle Bucket, 3+"
3236,"4134:  Freestyle Bucket, 3+"
3237,"4142:  Freestyle Building Set, 4+"
3238,"4143:  Freestyle Building Set, 4+"
3239,"4144:  Freestyle Brick Vac Bus, 4+"
3240,"4145:  Freestyle Playcase (M), 4+"
3241,"4146:  Freestyle Bucket, 4+"
3242,4150:  Building Set 5+
3243,"4151:  Girl's Freestyle Set, 5+"
3244,"4152:  Freestyle Bucket, 5+"
3245,"4153:  Freestyle Playcase (L), 5+"
3246,"4161:  Girl's Freestyle Suitcase, 6+"
3247,"4162:  Freestyle Multibox, 6+"
3248,"4163:  Electric Freestyle Set, 6+"
3249,4552:  Cargo Crane
3250,4555:  Cargo Station
3251,5088:  Duplo Long Beams 2 x 8 Red and Yellow
3252,5125:  Space Port Accessories (Launch Command Accessories)
3253,5126:  Crane and Digger Accessories
3254,5127:  Antennas and Control Sticks
3255,"5132:  Wheels, Bearings and Suspension"
3256,5134:  Pirate Cannons with Wheels
3257,5135:  Castle Accessories
3258,5136:  Belville Accessories
3259,5160:  Aquazone Accessories
3260,5268:  Small Low Profile Tyres
3261,5269:  Lift-Arms and Triangles
3262,5287:  Plates and Gear Racks
3263,"5288:  Gear Blocks, Housings and Axles"
3264,5541:  Blue Fury
3265,5810:  Vanity Fun
3266,5830:  Fun-Day Sundaes
3267,5840:  Garden Playmates
3268,6008:  Royal King
3269,6036:  Skeleton Surprise
3270,6044:  King's Carriage
3271,6078:  Royal Drawbridge
3272,6090:  Royal Knight's Castle
3273,6115:  Shark Scout
3274,6125:  Sea Sprint 9
3275,6155:  Deep Sea Predator
3276,6175:  Crystal Explorer Sub
3277,6195:  Neptune Discovery Lab
3278,6254:  Rocky Reef
3279,6263:  Imperial Outpost
3280,6279:  Skull Island
3281,6336:  Launch Response Unit
3282,6338:  Hurricane Harbour
3283,6339:  Shuttle Launch Pad
3284,6414:  Dolphin Point
3285,6484:  F1 Hauler
3286,6516:  Moon Walker
3287,6525:  Blaze Commander
3288,6535:  Dumper
3289,6544:  Shuttle Transcon 2
3290,6562:  Gas Stop Shop
3291,6596:  Wave Master
3292,6614:  Launch Evac 1
3293,6639:  Raven Racer
3294,6649:  Street Sweeper
3295,8210:  Nitro GTX bike
3296,8225:  Road Rally V
3297,8235:  Front End Loader
3298,8280:  Fire Engine
3299,8412:  Nighthawk
3300,8422:  Circuit Shock Racer
3301,8440:  Formula Flash
3302,8460:  Pneumatic Crane Truck
3303,8485:  Control Centre II
3304,9170:  Community People Set
3305,9171:  World People
3306,9605:  4.5V Technic Resource Set
3307,9609:  Technology Resource Set
3308,9652:  Fun Time Gears
3309,9653:  Mechanical Toy Shop
3310,9660:  Early Structures
3311,9701:  Control Lab Building Set
3312,9751:  Control Lab Serial Interface & Adapter
3313,9891:  Angle Sensor
3314,9938:  Conveyor Belt Links
3315,"624:  Basic Motor, 9V"
3316,"626:  Building Plate, Green"
3317,"627:  Building Plate, Blue"
3318,628:  X-Large Baseplate Grey
3319,629:  Three Building Plates
3320,"630:  Brick Separator, Green"
3321,631:  Doors and Windows
3322,632:  Wheels and Tyres
3323,633:  Roof Tiles
3324,634:  Extra Bricks in Red
3325,635:  Extra Bricks in White
3326,"636:  Pull Back Motor, 3+"
3327,637:  Play Table
3328,"638:  Lots of Extra Basic Bricks, 3+"
3329,"639:  Lots of Extra Basic Bricks, 5+"
3330,1728:  Crystal Crawler
3331,1737:  Scorpion Detector
3332,1747:  Treasure Surprise
3333,1749:  Paravane
3334,1751:  Small Bulk Bucket
3335,1752:  Boat with Armour
3336,1753:  Medium Bulk Bucket
3337,1754:  Supplementary Set
3338,1776:  Bonus Value Bucket
3339,1777:  Plane
3340,1778:  Boat
3341,1779:  Helicopter
3342,1784:  Animals Bulk Box
3343,1796:  Freestyle Bucket
3344,1797:  Bonus Bucket
3345,1802:  Tidy Treasure
3346,1804:  Crossbow Boat
3347,1806:  Underwater Scooter
3348,1808:  Light Aircraft and Ground Support
3349,1809:  Aeroplane
3350,1815:  Paradisa Lifeguard
3351,1817:  Sea Plane with Hut and Boat
3352,1818:  Aircraft and Ground Support Equipment and Vehicle.
3353,1821:  Rally Racers
3354,1823:  Yacht
3355,1843:  (Unnamed)
3356,1843:  (Unnamed)
3357,1846:  Freestyle Set
3358,1847:  Freestyle Set
3359,1853:  Hypno Cruiser
3360,1854:  House with Roof-Windows
3361,1856:  Water Park Tub
3362,1857:  Super Value Brick Pack
3363,1858:  Droid Scout
3364,1859:  Aeroplane
3365,1861:  Box of Bricks
3366,1866:  Stack-n-Learn Sampler
3367,1868:  Freestyle Box
3368,1869:  South African Flag
3369,2004:  Jumbo Building Tub
3370,2005:  Duplo Primo
3371,2006:  Primo Box
3372,2078:  Starter Box
3373,2091:  Primo Tumbler
3374,2092:  Primo Cannister
3375,2100:  Souvenir Box
3376,2119:  Small Freestyle Bucket
3377,2120:  Freestyle Set
3378,2140:  Roadside Recovery Van and Tow Truck
3379,2146:  Sort and Store Suitcase
3380,2150:  Train Station
3381,2220:  Build 'n' Play Fire Theme
3382,2221:  Build 'n' Play Circus Theme
3383,2321:  Happy Birthday Building Set
3384,2339:  Basic Box
3385,2346:  Train Oval Suitcase
3386,2349:  Basic Storage Unit
3387,2356:  Duplo Jumbo Tub
3388,2673:  Motorcycle Patrol
3389,2674:  Racing Team
3390,2683:  Police Station
3391,2685:  Water Park
3392,2694:  Play Farm
3393,2695:  Pony Carriage
3394,2696:  Farm Tractor
3395,2697:  Farm Animals
3396,2698:  Farm
3397,2699:  The DUPLO Farm
3398,2731:  Push-Along Play Train
3399,2739:  Tip Wagon
3400,2741:  Electric Train Starter Set
3401,2745:  Deluxe Electric Train Set
3402,2781:  Bathroom
3403,2791:  Playground
3404,2917:  Aeroplane
3405,2935:  Fire Engine
3406,4002:  Riptide Racer
3407,4012:  Wave Cops
3408,4022:  C26 Sea Cutter
3409,"4135:  Freestyle Canister, 3+"
3410,"4147:  Freestyle Canister, 4+"
3411,4532:  Manual Level Crossing
3412,4559:  Cargo Railway
3413,4565:  Freight and Crane Railway
3414,5027:  Duplo Start / Stop Rail Plus Straight Rail
3415,5028:  Duplo Primo Plate 4 x 4 Blue
3416,"5029:  Duplo Family, Caucasian"
3417,5087:  Duplo Toolo Wrench
3418,"5089:  Duplo Family, African American"
3419,"5090:  Duplo Family, Asian"
3420,"5091:  Duplo Family, Hispanic"
3421,5110:  Pneumatic Value Pack
3422,"5128:  Transparent Plates, Bricks, Toolholders"
3423,5129:  Space Accessories (Exploriens)
3424,"5130:  Windows, Seats, Steering Wheels"
3425,"5131:  Hinges, Couplings, Turntables"
3426,5133:  Town Accessories
3427,5140:  Basic Bricks Red
3428,5141:  Basic Bricks Blue
3429,5142:  Basic Bricks White
3430,5143:  Basic Bricks Yellow
3431,5144:  Basic Bricks Black
3432,5145:  Basic Bricks Grey
3433,5146:  Plates Assorted Blue
3434,5147:  Plates Assorted Red
3435,5149:  Doors and Windows
3436,5151:  Roof Bricks Steep 45 Degrees Red
3437,5152:  Roof Bricks Shallow 25 Degrees Red
3438,5289:  Toggle Joints and Connectors
3439,"5290:  Plates, Gear Racks"
3440,"5291:  Lift-Arms, Triangles"
3441,5292:  Technic Suitcase
3442,5293:  Battery Box - Basic and Technic
3443,5309:  Wagon Plate Red 6 x 28
3444,5310:  Light Brick Conductor (9V)
3445,"5311:  Two 2 x 2 Plates with Wire, 25.6 cm"
3446,5395:  Belville Hospital Accessories
3447,5396:  Transparent Windows and Bricks
3448,5397:  Magnet and Magnet Holder
3449,5398:  Decorated Elements
3450,5571:  Giant Truck
3451,5820:  Belville Garden Fun
3452,5835:  Belville Dance Studio
3453,5875:  Belville Hospital Ward
3454,5876:  Belville Hospital Ward
3455,5895:  Villa Belville
3456,6024:  Bandit Ambush
3457,6046:  Hemlock Stronghold
3458,6079:  Dark Forest Fortress
3459,6104:  Aquacessories
3460,6135:  Spy Shark
3461,6145:  Crystal Crawler
3462,6190:  Shark's Crystal Cave
3463,6232:  Skeleton Crew
3464,6244:  Armada Sentry
3465,6248:  Volcano Island
3466,6280:  Armada Flagship
3467,6289:  Red Beard Runner
3468,6296:  Shipwreck Island
3469,"6318:  Flowers, Trees and Fences"
3470,6331:  Patriot Jet
3471,6334:  Wave Jump Racers
3472,6335:  Indy Transport
3473,6337:  Fast Track Finish
3474,6404:  Carriage Ride
3475,6418:  Country Club
3476,6491:  Rocket Racer
3477,6492:  Hypno Cruiser
3478,6493:  Flying Time Vessel
3479,6494:  Magic Mountain Time Lab
3480,6500:  Holiday Village
3481,6517:  Water Jet
3482,6518:  Baja Buggy
3483,6545:  Search N' Rescue
3484,6546:  Slick Racer
3485,6563:  Gator Landing
3486,6581:  Dig 'N' Dump
3487,6598:  Metro PD Station
3488,6615:  Eagle Stunt Flyer
3489,6625:  Speed Trackers
3490,6712:  Sheriff's Showdown
3491,6716:  Covered Wagon
3492,6755:  Sheriff's Lock-Up
3493,6761:  Bandit's Secret Hide-Out
3494,6765:  Gold City Junction
3495,6769:  Fort Legoredo
3496,6815:  Hovertron
3497,6854:  Alien Fossilizer
3498,6856:  Planetary Decoder
3499,6899:  Nebula Outpost
3500,6938:  Scorpion Detector
3501,6958:  Android Base
3502,6982:  Explorien Starship
3503,8207:  Dune Duster
3504,8223:  Hydrofoil 7
3505,8230:  Coastal Cop Buggy
3506,8244:  Convertables
3507,8286:  3-In-1 Car
3508,8408:  Desert Ranger
3509,8425:  Black Falcon
3510,8443:  Pneumatic Log Loader
3511,8456:  Fiber Optic Multi Set
3512,8480:  Space Shuttle
3513,9261:  Sloped Bricks
3514,9293:  Community Workers
3515,9410:  Explorien Key Chain
3516,9707:  Intelligent House
3517,9752:  Control Centre (9V)
3518,9833:  Transformer 9 V
3519,54:  UFO Action Pack
3520,697:  Building Ideas Book
3521,1739:  Penguin
3522,1781:  Dinosaur Babies
3523,1782:  Discovery Station
3524,1783:  Primo Rattle
3525,1824:  Flying Duck
3526,1825:  Racing Car
3527,1826:  Bird? Boat? Plane?
3528,1827:  Helicopter
3529,1867:  Medium Bulk Bucket
3530,2003:  Jumbo Building Bag
3531,2009:  Large Bulk Box
3532,2010:  Baby Walker
3533,2081:  Stack 'n' Learn Starter Set
3534,2083:  Medium Stack 'n' Learn Set
3535,2085:  Frederick Frog
3536,2087:  Polly Parrot Storage Bird
3537,2089:  Stack 'n' Learn Gift Set
3538,2093:  The Ladybird Rattle
3539,2094:  Cozy Duck
3540,2095:  Roll 'n' Play Ball
3541,2096:  Stack-a-Mouse
3542,2097:  Caterpillar and Friends
3543,2098:  Bathtime Boat
3544,2099:  The Shape Sorter
3545,2121:  Stomper
3546,2122:  Bob
3547,2123:  Spinner
3548,2124:  Green Bucket
3549,2125:  Large Bucket
3550,2126:  Train Cars
3551,2127:  Nanas
3552,2129:  Blast-Off Dragster
3553,2135:  Aeroplane
3554,2136:  Aeroplane
3555,2137:  Swamp Boat
3556,2138:  Helicopter
3557,2139:  Boat
3558,2147:  Dragon Fly
3559,2148:  LEGO Truck
3560,2149:  Color Line Container Lorry
3561,2151:  Robo Raider
3562,2152:  Robo Raptor
3563,2153:  Robo Stalker
3564,2154:  Robo Master
3565,2160:  Crystal Scavenger
3566,2161:  Aqua Dozer
3567,2162:  Hydro Reef Wrecker
3568,2163:  Toucan
3569,2164:  Whale
3570,2165:  Rhinocerous
3571,2166:  Elephant
3572,2167:  Penguin
3573,2168:  Rattle
3574,2181:  Infomaniac
3575,2184:  XL Bulk Bucket
3576,2186:  Freestyle Set
3577,2187:  Freestyle Set
3578,2188:  Freestyle Set
3579,2189:  Pony Set
3580,2195:  JUBEL 3+ BULK
3581,2199:  Large Bulk Bucket
3582,2241:  Basic Set
3583,2242:  Extra Bricks (S)
3584,2245:  Farmhouse Bucket
3585,2246:  Large Basic Set
3586,2247:  Extra Bricks (M)
3587,2249:  Basic Set
3588,2251:  Horse 'n' Home
3589,2252:  Basic Cannister Set
3590,2261:  Happy Gardener
3591,2262:  Basic Set
3592,2264:  Medium Bucket
3593,2265:  Large Puppy Clearpack
3594,2266:  Extra Large Value Bucket
3595,2581:  School Bus
3596,2601:  Mother & Baby
3597,2602:  Dinosaurs Family Home
3598,2603:  Dinosaur Tub
3599,2604:  Dino World
3600,2605:  Dinosaur Park
3601,2606:  Dump Truck
3602,2607:  Speed Car
3603,2684:  Dinghy
3604,2687:  Harbour
3605,2761:  Pony Stables
3606,2762:  Family Fun Playground
3607,2805:  Pony Club
3608,2806:  Dino Mini Set
3609,2840:  Girl
3610,2841:  Boy
3611,2842:  Girl
3612,2844:  Doggy
3613,2845:  Indian Chief
3614,2846:  Indian Kayak
3615,2847:  Flyer
3616,2848:  Flying Machine
3617,2849:  Helicopter
3618,2851:  Medium Dino Bucket
3619,2852:  Large Dino Bucket
3620,2870:  Paradisa Barbeque
3621,2871:  Diver and Shark
3622,2872:  Witch and Fireplace
3623,2873:  Christmas Set
3624,2874:  Christmas Set
3625,2875:  Mouse
3626,2876:  Christmas Set
3627,2877:  Snowman
3628,2878:  Santa Claus
3629,2880:  Open-Top Jeep
3630,2881:  Parking Gate Attendant
3631,2882:  Speedboat
3632,2883:  Boat
3633,2884:  Microlight
3634,2885:  Ice Cream Seller
3635,2886:  Formula 1 Racing Car
3636,2887:  Petrol Station Attendant and Pump
3637,3200:  Beauty Studio
3638,3201:  Living Room
3639,3202:  Laundry Room
3640,3203:  Dressing Table
3641,3240:  Ashley's Miniature Garden
3642,3241:  Nursery
3643,3242:  Bathroom
3644,3243:  Kitchen
3645,3270:  Dream Cottage
3646,3290:  The Big Family House
3647,4055:  Value Bucket Medium
3648,4128:  XL Value Bucket
3649,4129:  Trial Size Bag
3650,"4137:  Freestyle Clearpack (S), 3+"
3651,4138:  Value Set with Carry Bag
3652,"4139:  Freestyle Bucket, 3+"
3653,4148:  Large Clearpack
3654,4157:  Trial Size Bag 5+
3655,4158:  Building Set 5+
3656,4168:  Funimal
3657,"4169:  Freestyle Gift Item, 3+"
3658,"5024:  Duplo Start / Stop Rail, Single Rail, Change of Direction Switch"
3659,"5026:  Toolo Loader, Hook and Turntable"
3660,5201:  Angle Bricks Assorted
3661,"5202:  Angle Beams, Red and Blue"
3662,5227:  Fibre Optic Cables
3663,"5228:  Technic Beams and Plates with Holes, Black"
3664,5229:  Technic Gear Wheels and Differential Housing
3665,5391:  Battery Box 9V For Electric System
3666,5392:  Western Accessories
3667,5393:  Headgear (Hats and Hair)
3668,5394:  3 Horses and Saddles
3669,5561:  Big Foot 4 x 4
3670,5731:  LEGO Island
3671,5821:  Pamela's Picnic Time
3672,5822:  Jennifer and Foal
3673,5853:  Lucinda and Cressida
3674,5854:  Pony Trekking
3675,5855:  Riding Stables
3676,5874:  Nursery
3677,6004:  Crossbow Cart
3678,6006:  Crossbow Cart
3679,6007:  Bat Lord
3680,6027:  Bat Lord's Catapult
3681,6037:  Witch's Windship
3682,6047:  Traitor Transport
3683,6087:  Witch's Magic Manor
3684,6097:  Night Lord's Castle
3685,6099:  Traitor Transport
3686,6204:  Buccaneers
3687,6249:  Pirates Ambush
3688,6250:  Cross Bone Clipper
3689,6281:  Pirates Perilous Pitfall
3690,"6320:  Road Plates, Junction"
3691,"6321:  Road Plates, Curved"
3692,"6322:  Road Plates, Straight"
3693,"6323:  Road Plates, Cross"
3694,6400:  Go-Kart
3695,6406:  Go-Kart
3696,6407:  Fire Chief
3697,6417:  Show Jumping Event
3698,6441:  Deep Sea Refuge
3699,6442:  Sting Ray Explorer
3700,6444:  Outback Airstrip
3701,6486:  Fire Engine
3702,6487:  Mountain Rescue
3703,6489:  Seaside Holiday Cottage
3704,6490:  Amazon Crossing
3705,6495:  Time Tunnelator
3706,6496:  Whirling Time Warper
3707,6497:  Twisted Time Train
3708,6499:  Time Tunnelator
3709,6547:  Fun Fair
3710,6548:  Octan Gas Station
3711,6549:  Roadblock Runners
3712,6550:  Outback Racer
3713,6553:  Crisis News Crew
3714,6554:  Blaze Brigade
3715,6555:  Sea Hunter
3716,6556:  Scuba Squad
3717,6557:  Treasure Hunters
3718,6558:  Shark Cage Cove
3719,6559:  Deep Sea Bounty
3720,6560:  Diving Expedition Explorer
3721,6564:  Recycle Truck
3722,6565:  Construction Crew
3723,6566:  Bank
3724,6599:  Shark Attack
3725,6706:  Frontier Patrol
3726,6709:  Tribal Chief
3727,6718:  Raindance Ridge
3728,6746:  Chief's Tepee
3729,6748:  Boulder Cliff Canyon
3730,6766:  Rapid River Village
3731,6790:  Bandit with Gun
3732,6791:  Bandit's Wheelgun
3733,6799:  Showdown Canyon
3734,6800:  Cyber Blaster
3735,6816:  Cyber Blaster
3736,6818:  Cyborg Scout
3737,6829:  Radon Rover
3738,6836:  V-Wing Fighter
3739,6900:  Cyber Saucer
3740,6915:  Warp Wing Fighter
3741,6975:  Alien Avenger
3742,6979:  Interstellar Starfighter
3743,6999:  Cyber Saucer
3744,8205:  Bungee Blaster
3745,8215:  Gyro Copter
3746,8216:  Turbo 1
3747,8222:  VTOL
3748,8229:  Tread Trekker
3749,8232:  Chopper Force
3750,8250:  Search Sub
3751,8277:  Giant Model Set
3752,8299:  Search Sub
3753,8414:  Mountain Rambler
3754,8437:  Future Car
3755,8459:  Pneumatic Front-End Loader
3756,8479:  Barcode Multi-Set
3757,"8735:  Motor Set, 9V"
3758,8760:  Search Sub CD-ROM
3759,9279:  Small Building Plates
3760,9291:  Medium LEGO DACTA Basic Set
3761,9366:  Town Set
3762,9376:  Castle Set
3763,9453:  Universal School Set
3764,9615:  Motor Add-On for Simple Mechanisms
3765,9616:  Wheels and Axles Set
3766,9617:  Introducing Air Power 
3767,9618:  Structures Set
3768,9630:  Simple Mechanisms Set
3769,9654:  Early Simple Machines II Set
3770,9655:  Fun Time Gears II Set
3771,9708:  Intelligent House Activity Pack
3772,9848:  9v Lamps
3773,4117463:  Cyber Saucer 
3774, {Bag of Bricks} 
3775, UFO Value Pack
3776,1298:  Advent Calendar
3777,1800:  Turtle
3778,2000:  Sally Starfish
3779,2001:  Sun Set
3780,2002:  Jumbo Building Bag
3781,2007:  Singing Camel
3782,2011:  My Home Stack 'n' Learn Set
3783,2012:  Lucy Ladybug
3784,2013:  My First Train Stack 'n' Learn Set
3785,2017:  Choo Choo Train
3786,2018:  Little Brother Stack 'n' Learn Set
3787,2019:  Bumper Stack and Learn Set
3788,2021:  Gift Set
3789,2022:  Amy Elephant
3790,2028:  Try-Me-Set with Bee
3791,2130:  Duck
3792,2131:  Hippo
3793,2132:  Cow
3794,2133:  Bull
3795,2134:  Bison
3796,2198:  Building Plates
3797,2222:  Tunnel Fun
3798,2223:  Spooky House
3799,2224:  Duplo Tub
3800,2226:  Duplo Bucket
3801,2234:  Police Chase
3802,2268:  Katie Cat Bucket
3803,2269:  Build a Zoo
3804,2270:  Spotty Dog Set
3805,2271:  Boy with Barrow
3806,2277:  Boy with Cat
3807,2279:  Tubular Motion
3808,2431:  Big Chief's Canoe
3809,2432:  Big Chief's Camp
3810,2433:  Stagecoach
3811,2434:  Sheriff Jake
3812,2435:  Western Town
3813,2436:  Big Chief's Camp
3814,2438:  Big Western Set
3815,"2449:  Basic Building Set, 3+"
3816,2490:  Insectoids Combined Set
3817,2494:  Purple Bucket Set
3818,2531:  Rescue Chopper
3819,2532:  Aircraft and Ground Crew
3820,2535:  Formula 1 Racing Car
3821,2536:  Divers Jet Ski
3822,2537:  Extreme Team Raft
3823,2538:  Fire-Cart
3824,2539:  Flying Machine
3825,2540:  Catapault Cart
3826,2541:  Adventurers Car
3827,2542:  Adventurers Aeroplane
3828,2543:  Spacecraft
3829,2544:  Motorcycle
3830,2554:  Formula 1 Pit Stop
3831,2555:  Belville Swing Set
3832,2556:  Ferrari Formula 1 Racing Car
3833,2580:  Friendly Animal Bus
3834,2584:  Biker Bob
3835,2585:  Track Buggy with Station Master and Cool Kid
3836,2586:  The Crazy LEGO King
3837,2599:  Racing Team
3838,2600:  Bronto Dinosaurs
3839,2763:  Playground Bucket
3840,2815:  Bike Ride
3841,2817:  Birthday
3842,2818:  Family Home
3843,2838:  Native American Family
3844,2854:  Bungee Chopper
3845,2855:  Baby tiger
3846,2862:  Zoo Babies
3847,2864:  Wild Animals
3848,2865:  Children's Zoo
3849,2866:  Animal Playground
3850,2879:  Desert Expedition
3851,2889:  Treasure Cart
3852,2890:  Stone Bomber
3853,2891:  Wizard Trader
3854,2892:  Thunder Arrow Boat
3855,2895:  Rooster on Wheels
3856,2898:  Flower
3857,"2907:  Play Desk Set, Blue"
3858,2922:  Dinosaur Blocks
3859,2962:  Res-Q Lifeguard
3860,2963:  Extreme Team Racer
3861,2964:  Space Spider
3862,2965:  Hornet Scout
3863,2995:  Adventurers Car
3864,2996:  Adventurers Tomb
3865,2997:  Duplo Bucket
3866,2998:  Stena Line Ferry
3867,3012:  Space Hover
3868,3013:  Space Jet
3869,3014:  Ice Planet Scooter
3870,3015:  Space Police Car
3871,3016:  Master and Heavy Gun
3872,3017:  Ninpo Water Spider
3873,3018:  LEGO Shogun Go!
3874,3019:  Ninpo Big Bat
3875,3020:  Jones' Raft
3876,3021:  King Farao Third
3877,3022:  Harry Caine's Airplane
3878,3023:  Sly Boot's Car
3879,3025:  Limited Edition Silver Brick Bucket
3880,3026:  Limited Edition Silver Brick Tub
3881,3027:  Limited Edition Silver Freestyle Bucket
3882,3028:  Limited Edition Silver Freestyle Tub
3883,3029:  Limited Edition Silver Duplo Bucket
3884,3030:  Limited Edition Tub with Silver Brick
3885,3033:  Special Value Blue Tub
3886,3037:  Strata Tub
3887,3038:  Super Challenge
3888,3040:  Challenger Set 200
3889,3042:  Basic Building Set
3890,3047:  Halloween Bucket
3891,3054:  Motorcycle
3892,3055:  Adventurers Car
3893,3056:  Go-Kart
3894,3078:  Car
3895,3079:  Duck
3896,3080:  Plane
3897,3081:  Helicopter
3898,3100:  Sporty SCALA Girl
3899,3101:  Dressing Up
3900,3102:  Leisure Wear for Christian
3901,3103:  Christian in Blue Blazer
3902,3104:  Ashley
3903,3105:  Emma in Flower Dress
3904,3106:  Marie in Rainbow Skirt
3905,3107:  Andrea in Sun Dress
3906,3108:  Birthday Accessories
3907,3110:  Four Animal Friends
3908,3112:  Baby's Nursery
3909,3114:  My Place
3910,3115:  Kitchen
3911,3116:  Cool Ice Cream Café
3912,3117:  SCALA Flashy Pool
3913,3118:  Fun Fashion Boutique
3914,3119:  Sunshine Home
3915,3120:  Additional Room
3916,3204:  Auntie Jane and Cousin Sophie
3917,3205:  Julie's Picnic Lunch
3918,3206:  Ashley's Snack Time
3919,3210:  Party Dress and Accessories
3920,3211:  Accessories for Anna
3921,3220:  My Dad
3922,3225:  Classic Train
3923,3226:  Cars and Planes Set
3924,3244:  Boutique
3925,3245:  Ice Cream Parlour
3926,3260:  Swimming Pool
3927,3302:  Field Bases
3928,3303:  Goals and Linesmen
3929,3304:  Dutch Footballer
3930,3305:  World Team / Scottish Footballer
3931,3306:  Goalkeepers
3932,3308:  Side Stand
3933,3309:  Head Stand
3934,3310:  Press Box
3935,3311:  Television Tower
3936,3312:  Paramedic Unit
3937,3313:  Lighting Towers
3938,3314:  Police Unit
3939,3317:  German Footballer
3940,3318:  English Footballer
3941,3320:  Austrian Footballer
3942,3323:  German Footballer and Ball
3943,3324:  World Footballer and Ball
3944,3330:  Racing Car
3945,3331:  Bird
3946,3332:  Plane
3947,3333:  Helicopter
3948,3442:  LEGOLAND California Truck
3949,3501:  Jet-Car
3950,3502:  Bi-Wing
3951,3503:  Mini-Sonic
3952,3504:  Hook-Truck
3953,3510:  Promotional Set
3954,3531:  Tri-Bike
3955,3532:  Jet-Ski
3956,3551:  Dino-Jet
3957,3552:  Hover Sub
3958,3571:  Blackmobile
3959,3581:  Red Formula 1 with Storage
3960,3591:  Rota-Beast
3961,3722:  Treasure Tomb
3962,3758:  Anniversary Bucket
3963,3759:  Anniversary Tub
3964,3760:  Anniversary Bucket
3965,3761:  Anniversary Tub
3966,3762:  Limited Edition Duplo Bucket
3967,3888:  Three '8's
3968,3978:  Magic Wizard Key Chain 
3969,"4211:  Basic Building Set, 3+"
3970,"4212:  Basic Building Set, 3+"
3971,"4213:  Basic Building Set, 3+"
3972,4214:  My Little Farm
3973,"4215:  Basic Building Set, 3+"
3974,"4216:  Basic Building Set, 3+"
3975,"4217:  Basic Building Set, 3+"
3976,"4219:  Basic Building Set, 3+"
3977,4220:  Brick Pack 200
3978,"4221:  Basic Building Set, 5+"
3979,4222:  Basic Box 5+
3980,"4223:  Basic Building Set, 5+"
3981,4224:  My Home Bucket
3982,"4225:  Basic Building Set, 5+"
3983,4226:  Freestyle Bucket
3984,"4229:  Basic Building Set, 5+"
3985,4232:  Trial Size Bag 3+
3986,4239:  Trial Size Bag 5+
3987,4244:  XL Bucket Red
3988,4254:  Play Table with Cars and Planes
3989,4255:  Backpack Set Blue
3990,4258:  Imagination Celebration Playscape
3991,4259:  Value Bucket XL
3992,4267:  Blue Bucket
3993,4269:  Value Bucket
3994,4271:  Boxed Set Medium
3995,4273:  Play Table Set
3996,4274:  Play Desk Blue
3997,"4275:  Basic Bucket, Blue"
3998,4276:  Build and Store Chest
3999,4280:  Trial Size 
4000,4304:  Chopper Cop
4001,4305:  Cyborg Scout
4002,5022:  Primo / Duplo Converter Bricks
4003,5023:  Duplo Farm Fences
4004,5225:  Technic Geared Motor
4005,5226:  Technic Assorted Cross Axles
4006,5294:  Toggle Joints and Connectors
4007,5295:  Steering Accessories
4008,5381:  Adventure Accessories
4009,5382:  Aquazone Accessories
4010,5383:  Castle Accessories
4011,5384:  Space Accessories
4012,5386:  Antenna and Control Sticks
4013,5387:  Belville Beach Accessories
4014,"5388:  Hinges, Couplings, Turntables"
4015,5389:  Diving Accessories
4016,5390:  Crane and Digger Accessories
4017,5400:  LEGO Scala Fashion Accessories
4018,5401:  LEGO Scala Kitchen Accessories
4019,5402:  LEGO Scala Floor Plate 17.5 x 35 cm
4020,5403:  LEGO Scala Floor Plate 35 x 35 cm
4021,5404:  LEGO Scala Basic House
4022,5405:  LEGO Scala Floor Plate 17.5 x 35 cm
